table_name,column_name,dtype,row_count,missing_count,missing_pct,unique_count,zero_count,negative_count,min_value,max_value
train,id,uint32,3000888,0,0.0,3000888,1.0,0.0,0.0,3000887.0
train,date,datetime64[ns],3000888,0,0.0,1684,,,,
train,store_nbr,uint8,3000888,0,0.0,54,0.0,0.0,1.0,54.0
train,family,category,3000888,0,0.0,33,,,,
train,sales,float32,3000888,0,0.0,379610,939130.0,0.0,0.0,124717.0
train,onpromotion,uint16,3000888,0,0.0,362,2389559.0,0.0,0.0,741.0
test,id,uint32,28512,0,0.0,28512,0.0,0.0,3000888.0,3029399.0
test,date,datetime64[ns],28512,0,0.0,16,,,,
test,store_nbr,uint8,28512,0,0.0,54,0.0,0.0,1.0,54.0
test,family,category,28512,0,0.0,33,,,,
test,onpromotion,uint16,28512,0,0.0,212,15943.0,0.0,0.0,646.0
stores,store_nbr,uint8,54,0,0.0,54,0.0,0.0,1.0,54.0
stores,city,category,54,0,0.0,22,,,,
stores,state,category,54,0,0.0,16,,,,
stores,type,category,54,0,0.0,5,,,,
stores,cluster,uint8,54,0,0.0,17,0.0,0.0,1.0,17.0
transactions,date,datetime64[ns],83488,0,0.0,1682,,,,
transactions,store_nbr,uint8,83488,0,0.0,54,0.0,0.0,1.0,54.0
transactions,transactions,uint32,83488,0,0.0,4993,0.0,0.0,5.0,8359.0
oil,date,datetime64[ns],1218,0,0.0,1218,,,,
oil,dcoilwtico,float32,1218,43,3.53,998,0.0,0.0,26.190000534057617,110.62000274658203
holidays,date,datetime64[ns],350,0,0.0,312,,,,
holidays,type,category,350,0,0.0,6,,,,
holidays,locale,category,350,0,0.0,3,,,,
holidays,locale_name,category,350,0,0.0,24,,,,
holidays,description,category,350,0,0.0,103,,,,
holidays,transferred,bool,350,0,0.0,2,,,,
sample_submission,id,uint32,28512,0,0.0,28512,0.0,0.0,3000888.0,3029399.0
sample_submission,sales,float32,28512,0,0.0,1,28512.0,0.0,0.0,0.0
