experiment,model,added_group,inference_strategy,fold,train_end,validation_start,validation_end,rmsle,mae,wape
M0,rolling_historical_median_28d,strongest statistical baseline,verified_statistical_baseline,1,2017-06-12,2017-06-13,2017-06-28,0.460318441481436,100.69044690814394,0.2206233070773792
M0,rolling_historical_median_28d,strongest statistical baseline,verified_statistical_baseline,2,2017-06-28,2017-06-29,2017-07-14,0.4550678844847136,113.29969578101152,0.2337029747573624
M0,rolling_historical_median_28d,strongest statistical baseline,verified_statistical_baseline,3,2017-07-14,2017-07-15,2017-07-30,0.4673721497318336,105.69958628651796,0.2194016085427859
M0,rolling_historical_median_28d,strongest statistical baseline,verified_statistical_baseline,4,2017-07-30,2017-07-31,2017-08-15,0.5525559339034795,93.51209402376192,0.2001787548869323
M1,global_lightgbm,lag features,recursive_untuned,1,2017-06-12,2017-06-13,2017-06-28,0.4259120557104792,68.16257627659417,0.14935133827318434
M1,global_lightgbm,lag features,recursive_untuned,2,2017-06-28,2017-06-29,2017-07-14,0.4121207947953672,66.10061554195872,0.13634556014436794
M1,global_lightgbm,lag features,recursive_untuned,3,2017-07-14,2017-07-15,2017-07-30,0.42649897402002906,62.77840443347311,0.13030971452544282
M1,global_lightgbm,lag features,recursive_untuned,4,2017-07-30,2017-07-31,2017-08-15,0.5046303844125577,79.1326816825321,0.1693971443527725
M2,global_lightgbm,rolling features,recursive_untuned,1,2017-06-12,2017-06-13,2017-06-28,0.4119282472550134,68.01514523586037,0.1490283014333318
M2,global_lightgbm,rolling features,recursive_untuned,2,2017-06-28,2017-06-29,2017-07-14,0.3986031092763626,65.9822749616579,0.13610145935080295
M2,global_lightgbm,rolling features,recursive_untuned,3,2017-07-14,2017-07-15,2017-07-30,0.41487850314155555,62.62689444797872,0.12999522384770584
M2,global_lightgbm,rolling features,recursive_untuned,4,2017-07-30,2017-07-31,2017-08-15,0.49639153153087445,79.58992926997435,0.17037596162432228
M3,global_lightgbm,calendar features,recursive_untuned,1,2017-06-12,2017-06-13,2017-06-28,0.4103067680946885,66.91346655013193,0.14661440813515425
M3,global_lightgbm,calendar features,recursive_untuned,2,2017-06-28,2017-06-29,2017-07-14,0.3977279301316064,65.76418409824277,0.13565160391918704
M3,global_lightgbm,calendar features,recursive_untuned,3,2017-07-14,2017-07-15,2017-07-30,0.414619686347341,65.31031052264254,0.13556521540448363
M3,global_lightgbm,calendar features,recursive_untuned,4,2017-07-30,2017-07-31,2017-08-15,0.49672141360211025,79.8642365870743,0.17096316371584525
M4,global_lightgbm,promotion features,recursive_untuned,1,2017-06-12,2017-06-13,2017-06-28,0.40359927603390355,65.15034482821231,0.14275122392042208
M4,global_lightgbm,promotion features,recursive_untuned,2,2017-06-28,2017-06-29,2017-07-14,0.39382823165680686,64.40991435842808,0.13285815540516543
M4,global_lightgbm,promotion features,recursive_untuned,3,2017-07-14,2017-07-15,2017-07-30,0.40930150204863536,63.40994997219642,0.13162061943937803
M4,global_lightgbm,promotion features,recursive_untuned,4,2017-07-30,2017-07-31,2017-08-15,0.4462687203076096,76.08555761699809,0.16287425009195522
M5,global_lightgbm,holiday/event features,recursive_untuned,1,2017-06-12,2017-06-13,2017-06-28,0.4028774096534417,63.51806304792459,0.1391747237110452
M5,global_lightgbm,holiday/event features,recursive_untuned,2,2017-06-28,2017-06-29,2017-07-14,0.3945278033349634,64.46873064500481,0.13297947559973797
M5,global_lightgbm,holiday/event features,recursive_untuned,3,2017-07-14,2017-07-15,2017-07-30,0.40919361923571046,63.2889588362889,0.1313694770199028
M5,global_lightgbm,holiday/event features,recursive_untuned,4,2017-07-30,2017-07-31,2017-08-15,0.4418941587473267,77.62157150963445,0.16616235257460144
M6,global_lightgbm,store/family metadata,recursive_untuned,1,2017-06-12,2017-06-13,2017-06-28,0.4010555564640038,64.89714402447153,0.1421964344603365
M6,global_lightgbm,store/family metadata,recursive_untuned,2,2017-06-28,2017-06-29,2017-07-14,0.3907683354599175,62.91012936812503,0.1297645529791913
M6,global_lightgbm,store/family metadata,recursive_untuned,3,2017-07-14,2017-07-15,2017-07-30,0.4067356772671436,63.50663828849876,0.1318213162714973
M6,global_lightgbm,store/family metadata,recursive_untuned,4,2017-07-30,2017-07-31,2017-08-15,0.4377858041176348,76.62046395786524,0.1640193093103778
M6_NO_HOLIDAY,global_lightgbm,full model without holiday/event features,recursive_untuned,1,2017-06-12,2017-06-13,2017-06-28,0.39687462128828327,63.94423294764002,0.1401085065627374
M6_NO_HOLIDAY,global_lightgbm,full model without holiday/event features,recursive_untuned,2,2017-06-28,2017-06-29,2017-07-14,0.3899873085986574,63.26562196230777,0.13049782658766856
M6_NO_HOLIDAY,global_lightgbm,full model without holiday/event features,recursive_untuned,3,2017-07-14,2017-07-15,2017-07-30,0.4045559336223701,63.88055786043878,0.1325974645841964
M6_NO_HOLIDAY,global_lightgbm,full model without holiday/event features,recursive_untuned,4,2017-07-30,2017-07-31,2017-08-15,0.4330309501402281,75.02258830103965,0.16059878105906727
