experiment,model,added_group,fold,train_end,validation_start,validation_end,rmsle,mae,wape
M0,rolling_historical_median_28d,strongest statistical baseline,1,2017-06-12,2017-06-13,2017-06-28,0.460318441481436,100.69044690814394,0.2206233070773792
M0,rolling_historical_median_28d,strongest statistical baseline,2,2017-06-28,2017-06-29,2017-07-14,0.4550678844847136,113.29969578101152,0.2337029747573624
M0,rolling_historical_median_28d,strongest statistical baseline,3,2017-07-14,2017-07-15,2017-07-30,0.4673721497318336,105.69958628651796,0.2194016085427859
M0,rolling_historical_median_28d,strongest statistical baseline,4,2017-07-30,2017-07-31,2017-08-15,0.5525559339034795,93.51209402376192,0.2001787548869323
M1,global_lightgbm,lag features,1,2017-06-12,2017-06-13,2017-06-28,0.4292120770943803,71.31691670198248,0.1562628282671845
M1,global_lightgbm,lag features,2,2017-06-28,2017-06-29,2017-07-14,0.4286471488613671,86.03685230004261,0.17746798155701338
M1,global_lightgbm,lag features,3,2017-07-14,2017-07-15,2017-07-30,0.4251551717105941,67.71153837100013,0.14054946625083334
M1,global_lightgbm,lag features,4,2017-07-30,2017-07-31,2017-08-15,0.5025899702808813,93.21227262210404,0.199536935499837
M2,global_lightgbm,rolling features,1,2017-06-12,2017-06-13,2017-06-28,0.41762009694745333,71.31550236118525,0.15625972929847792
M2,global_lightgbm,rolling features,2,2017-06-28,2017-06-29,2017-07-14,0.41222389195762493,83.49428657061357,0.17222343813271165
M2,global_lightgbm,rolling features,3,2017-07-14,2017-07-15,2017-07-30,0.4152982783914046,68.15205162877184,0.14146384369293183
M2,global_lightgbm,rolling features,4,2017-07-30,2017-07-31,2017-08-15,0.4914172244936183,89.36559912841244,0.19130246787869612
M3,global_lightgbm,calendar features,1,2017-06-12,2017-06-13,2017-06-28,0.41106345814335915,64.58944226605958,0.1415222277046917
M3,global_lightgbm,calendar features,2,2017-06-28,2017-06-29,2017-07-14,0.4050106154755639,78.54894931897026,0.16202270441563899
M3,global_lightgbm,calendar features,3,2017-07-14,2017-07-15,2017-07-30,0.4111255337366952,65.29678443808147,0.1355371391856994
M3,global_lightgbm,calendar features,4,2017-07-30,2017-07-31,2017-08-15,0.48979664079832846,87.93563234964802,0.18824137752144243
M4,global_lightgbm,promotion features,1,2017-06-12,2017-06-13,2017-06-28,0.4025438996717796,63.352654175114175,0.13881229555961722
M4,global_lightgbm,promotion features,2,2017-06-28,2017-06-29,2017-07-14,0.4011076716484874,78.23128446740317,0.16136745798911215
M4,global_lightgbm,promotion features,3,2017-07-14,2017-07-15,2017-07-30,0.40368150511790213,63.94765829049087,0.13273674556725942
M4,global_lightgbm,promotion features,4,2017-07-30,2017-07-31,2017-08-15,0.4621454470832167,85.05223109935677,0.18206896016571456
M5,global_lightgbm,holiday/event features,1,2017-06-12,2017-06-13,2017-06-28,0.4034804826526168,63.93567727997486,0.14008976019947755
M5,global_lightgbm,holiday/event features,2,2017-06-28,2017-06-29,2017-07-14,0.40200353325241694,78.09824620373736,0.1610930403239902
M5,global_lightgbm,holiday/event features,3,2017-07-14,2017-07-15,2017-07-30,0.40370541055077813,63.38448585831445,0.13156776334275455
M5,global_lightgbm,holiday/event features,4,2017-07-30,2017-07-31,2017-08-15,0.46347973520243213,85.43567696516013,0.18288979213172263
M6,global_lightgbm,store/family metadata,1,2017-06-12,2017-06-13,2017-06-28,0.3996362942039123,63.62198898511989,0.1394024363159565
M6,global_lightgbm,store/family metadata,2,2017-06-28,2017-06-29,2017-07-14,0.3968265135037745,77.61803917163132,0.1601025185831419
M6,global_lightgbm,store/family metadata,3,2017-07-14,2017-07-15,2017-07-30,0.3997586360210743,63.831897155317655,0.1324964591086644
M6,global_lightgbm,store/family metadata,4,2017-07-30,2017-07-31,2017-08-15,0.4554456627217279,85.9760961640564,0.184046652572946
