model,fold,train_end,validation_start,validation_end,rmsle,mae,wape
last_value_naive,1,2017-06-12,2017-06-13,2017-06-28,0.5860856505726859,108.01159924436027,0.23666471805161818
seasonal_naive_7d,1,2017-06-12,2017-06-13,2017-06-28,0.5234994757546912,77.25061344040756,0.16926417882052797
seasonal_naive_14d,1,2017-06-12,2017-06-13,2017-06-28,0.5279705661789043,85.77209827795664,0.18793564392768863
seasonal_naive_28d,1,2017-06-12,2017-06-13,2017-06-28,0.550497625990535,79.21080745311798,0.1735591690492631
weekday_historical_median,1,2017-06-12,2017-06-13,2017-06-28,1.4117174624887339,115.5073407725256,0.2530886722172971
rolling_historical_median_28d,1,2017-06-12,2017-06-13,2017-06-28,0.460318441481436,100.69044690814394,0.2206233070773792
last_value_naive,2,2017-06-28,2017-06-29,2017-07-14,0.6050710460727474,146.96531543630402,0.3031449569820877
seasonal_naive_7d,2,2017-06-28,2017-06-29,2017-07-14,0.5176185596076112,78.82439561762065,0.16259086674773315
seasonal_naive_14d,2,2017-06-28,2017-06-29,2017-07-14,0.5247101649535221,79.33162645958194,0.16363713042777123
seasonal_naive_28d,2,2017-06-28,2017-06-29,2017-07-14,0.5205022387538136,74.24624287712192,0.15314752352449884
weekday_historical_median,2,2017-06-28,2017-06-29,2017-07-14,1.3987057778280092,138.37559446903057,0.2854269628731933
rolling_historical_median_28d,2,2017-06-28,2017-06-29,2017-07-14,0.45506788448471364,113.29969578101151,0.2337029747573624
last_value_naive,3,2017-07-14,2017-07-15,2017-07-30,0.5880761015889432,128.13301073838383,0.26596687509473493
seasonal_naive_7d,3,2017-07-14,2017-07-15,2017-07-30,0.5211689523141964,67.29417776358376,0.1396831469791445
seasonal_naive_14d,3,2017-07-14,2017-07-15,2017-07-30,0.5304732104276616,89.08076709342382,0.1849057718877313
seasonal_naive_28d,3,2017-07-14,2017-07-15,2017-07-30,0.5401688216612152,82.71286583901164,0.17168786037696637
weekday_historical_median,3,2017-07-14,2017-07-15,2017-07-30,1.409504390454595,123.3229075892221,0.25598249951428464
rolling_historical_median_28d,3,2017-07-14,2017-07-15,2017-07-30,0.4673721497318336,105.69958628651797,0.21940160854278598
last_value_naive,4,2017-07-30,2017-07-31,2017-08-15,0.6594842004439208,207.50578961580385,0.4442019081143264
seasonal_naive_7d,4,2017-07-30,2017-07-31,2017-08-15,0.6170404161294091,96.53539090179572,0.20665064294608082
seasonal_naive_14d,4,2017-07-30,2017-07-31,2017-08-15,0.6252085470128447,94.09897926268238,0.20143508389565673
seasonal_naive_28d,4,2017-07-30,2017-07-31,2017-08-15,0.6274414600785191,82.87114246996703,0.17739996402476255
weekday_historical_median,4,2017-07-30,2017-07-31,2017-08-15,1.4351866321591882,134.62122912294998,0.2881799440865141
rolling_historical_median_28d,4,2017-07-30,2017-07-31,2017-08-15,0.5525559339034795,93.51209402376192,0.20017875488693232
