rank,feature,importance_gain,importance_split
1,rolling_mean_7,103139964.34112358,379
2,sales_lag_1,41435686.77150345,605
3,rolling_median_7,37137893.68569374,215
4,sales_lag_7,9093931.197131157,362
5,sales_lag_14,1455403.440202713,207
6,month,646851.2816953659,310
7,family,599253.1503353119,1113
8,sales_lag_56,524895.8379249573,274
9,rolling_mean_14,493549.0070734024,81
10,sales_lag_21,405640.7095823288,107
11,is_month_start,347466.2804412842,280
12,day_of_week,330718.1788597107,544
13,sales_lag_2,309956.1959352493,213
14,sales_lag_28,248620.1813364029,158
15,rolling_zero_rate_28,141349.87288665771,245
16,week_of_year,140604.2498474121,473
17,rolling_median_28,112817.32026481628,78
18,store_nbr,112762.29010486603,616
19,year,100370.54534435272,182
20,rolling_mean_56,97547.51376914978,121
21,onpromotion,97160.46949195862,206
22,promotion_active,35658.90493392944,32
23,is_holiday,33619.98931980133,128
24,sales_lag_364,28555.323216438293,131
25,rolling_mean_28,25753.70738506317,60
26,holiday_count,23153.361842155457,65
27,is_weekend,20473.91659259796,47
28,sales_lag_3,20250.725761413574,27
29,rolling_std_28,19981.374410629272,51
30,rolling_min_28,13965.565579414368,68
31,rolling_max_28,9714.089550971985,15
32,quarter,7807.158363342285,7
33,is_event,3355.6501302719116,24
34,is_payday,2708.2911281585693,16
35,city,2122.635696411133,15
36,cluster,1678.6359167099,18
37,is_month_end,1087.8065099716187,23
38,store_type,196.27280235290527,4
39,state,0.0,0
40,is_work_day,0.0,0
