family,observation_count,series_count,fold_count,actual_sales,predicted_sales,mae,rmsle,wape
BOOKS,3456,54,4,88.0,108.81798366848598,0.049104097582975854,0.11675329672802369,1.9284518323495972
DAIRY,3456,54,4,3040654.0,3125537.7747818273,94.0397774992126,0.14869482119543964,0.10688538420921248
PRODUCE,3456,54,4,8162018.60201,8435123.527254902,269.7003205185301,0.15378450672087998,0.11419776812105065
BREAD/BAKERY,3456,54,4,1889351.81319,1873040.7267348901,63.37431694712039,0.16797925000271408,0.11592422218043648
GROCERY I,3456,54,4,15794636.221,15688245.52564151,586.9320307786962,0.17211999148464457,0.12842569274715138
DELI,3456,54,4,1076266.983058,1080429.339525896,45.628645770327545,0.18977712918511636,0.14651810588317002
MEATS,3456,54,4,1305879.291713,1283826.5838409069,57.4886357639183,0.20602110828557724,0.15214325432749626
POULTRY,3456,54,4,1340880.322842,1329102.0468756007,56.92628867849469,0.21328664930495927,0.14672245562966604
BEVERAGES,3456,54,4,12182839.0,12110220.412882654,583.179496900243,0.22714728914627058,0.16543503047912228
HOME CARE,3456,54,4,1065704.0,1039723.1655222997,56.03357570196168,0.22875161129862787,0.18171278105926184
PERSONAL CARE,3456,54,4,1070357.0,1035659.1654251138,57.78657035600778,0.24719254977082544,0.18658296918725517
PREPARED FOODS,3456,54,4,308712.602987,299220.4899184879,15.024379924210061,0.27433618261678616,0.16819610380550779
BABY CARE,3456,54,4,656.0,503.53376686055344,0.2430898431084455,0.28654141710097236,1.2806684417420544
FROZEN FOODS,3456,54,4,456324.597057,428741.9202747558,24.169075900243495,0.29133744482225193,0.18304585562545933
EGGS,3456,54,4,686258.0,663158.8944122245,39.29492630198737,0.3231995140429752,0.19788951866450857
CLEANING,3456,54,4,4407748.0,4376257.300722545,294.4772684662915,0.3377619480271546,0.23089192935247282
HOME APPLIANCES,3456,54,4,1401.0,1377.1429198609985,0.4862831589582157,0.3957231690843219,1.1995678782009946
LAWN AND GARDEN,3456,54,4,56547.0,52074.14819813273,4.8365348047010555,0.42508654311353133,0.2955959517754584
HOME AND KITCHEN II,3456,54,4,103994.0,97724.5916754699,10.667067828892032,0.46941430626792136,0.3544953210440109
BEAUTY,3456,54,4,20269.0,17817.998218704946,2.1251183208173567,0.4700205993436713,0.3623468802972414
PET SUPPLIES,3456,54,4,30312.0,28117.757044272876,2.7901445842078676,0.48041917068902523,0.3181162471305882
PLAYERS AND ELECTRONICS,3456,54,4,39531.0,36303.86572513362,3.5251817984139904,0.4845202974968809,0.30818922605850474
HOME AND KITCHEN I,3456,54,4,111343.0,102680.0229494865,11.598602329460808,0.4900268937317535,0.3600115826824906
LADIESWEAR,3456,54,4,39219.0,36119.559549595724,4.049493172160529,0.49581663682056765,0.35684358099356916
SEAFOOD,3456,54,4,69713.4130169,64750.693307820744,4.918148663032825,0.4971282437263124,0.243814225181042
MAGAZINES,3456,54,4,22097.0,19528.053821668535,2.460298391180189,0.5124359335317543,0.384793919532911
AUTOMOTIVE,3456,54,4,25047.0,22150.39560799736,2.805378661928479,0.5149960213554909,0.3870878211212849
"LIQUOR,WINE,BEER",3456,54,4,338259.0,288076.76044290984,28.84364361208286,0.5184955817054833,0.29469617164172535
HARDWARE,3456,54,4,5052.0,3810.8464068371136,1.05722955876989,0.5320955254991327,0.7232354226264331
CELEBRATION,3456,54,4,46055.0,40026.06762712467,5.040403759160064,0.5536211060690518,0.3782354878223251
GROCERY II,3456,54,4,109416.0,98535.52580835178,11.819490136727616,0.6054179464475209,0.37332892732809314
LINGERIE,3456,54,4,23620.0,19182.758628086925,3.349708623721543,0.6371100261281771,0.49011824739973125
SCHOOL AND OFFICE SUPPLIES,3456,54,4,60250.0,25750.319075159037,14.698871964858556,0.7679015461476562,0.8431419337850817
