store_nbr,store_type,observation_count,series_count,fold_count,actual_sales,predicted_sales,mae,rmsle,wape
3,D,2112,33,4,2314554.075541,2379019.9291459112,120.15265809201483,0.30461192372056356,0.1096377123230622
8,D,2112,33,4,1396674.656573,1416611.9355014537,63.702021072213235,0.3130041105424667,0.09632785120811879
6,D,2112,33,4,1112859.60484,1151836.348944772,61.15811701331269,0.32781748617443385,0.11606670110978382
7,D,2112,33,4,1250947.993268,1322469.5176550094,61.93874988362072,0.33934536363021184,0.10457240465486047
24,D,2112,33,4,1133295.8146835,1160080.6656478073,55.87462419995583,0.339701757890526,0.10412745267506618
46,A,2112,33,4,1930500.965227,1929356.125088143,158.80602035390666,0.3407458139918265,0.1737364140338633
2,D,2112,33,4,945015.425174,970650.4936835539,51.054856647432665,0.3427125676507623,0.11410169015973903
4,D,2112,33,4,807870.399026,830826.0183631914,45.5855252649234,0.3477303065894242,0.11917335933535016
37,D,2112,33,4,868598.1740375,877975.7577836935,48.75456807758548,0.34968404589632973,0.11854693097180632
49,A,2112,33,4,2209949.875584,2333334.613146432,126.69031740976328,0.35585298060226567,0.12107512180506456
42,D,2112,33,4,815370.9719716,839940.9022884361,56.17863196985061,0.35700080440794874,0.14551569138330467
52,A,2112,33,4,1430887.011873,1386863.3247439703,78.11178249394465,0.3638908007524547,0.11529357891876188
5,D,2112,33,4,646271.9250549,658282.7922615253,40.50979472523582,0.3772493758675033,0.13238496543452685
27,D,2112,33,4,975620.3277615,994413.2474124436,69.60759407474313,0.38194304395611556,0.15068488683827
51,A,2112,33,4,1522506.847304,1552850.3990392173,93.14067352171735,0.38355495598008943,0.12920342711508948
1,D,2112,33,4,669917.2252147,677640.3077412207,40.26632105685234,0.3853804391698806,0.12694474312825307
53,D,2112,33,4,749027.591008,746764.6986192494,48.28190873799529,0.39383659631681206,0.13613836456600828
38,D,2112,33,4,855841.0570547,860979.96430444,91.03754582916396,0.39533170114150684,0.2246577155960228
23,D,2112,33,4,515518.5718325,520953.5682090597,33.24200743852738,0.39543902886558324,0.13618737237847023
41,D,2112,33,4,866967.481894,874081.0223207186,85.67276401864619,0.39861336574650696,0.20870549517277462
45,A,2112,33,4,2620576.125175,2576537.3953172346,158.86875870477252,0.39946237469539825,0.12803704313763184
17,C,2112,33,4,888683.08707,886254.6435750307,52.80990491017225,0.4033562557715138,0.12550539195925803
31,B,2112,33,4,894550.657034,864517.3442455542,68.18592203800924,0.4063683810984793,0.16098436260921783
9,B,2112,33,4,1146147.3340415,1126659.4891812983,83.26526047991119,0.40892148269699863,0.15343248194233028
29,E,2112,33,4,802786.295082,785834.7794562142,58.949562656175736,0.40962461030591557,0.15508669877968712
54,C,2112,33,4,658368.169979,612418.1291184113,77.16780038811085,0.4113670826119096,0.24754901869707435
40,C,2112,33,4,1032451.230067,986326.8688981886,101.73241753252107,0.4120909690727503,0.20810558365526033
25,D,2112,33,4,512909.274121,463620.0560664145,40.64059745584357,0.4129650335651817,0.1673452716834534
33,C,2112,33,4,637217.939117,619864.8090184721,53.74027776022529,0.41309315448059386,0.17811718669890758
39,B,2112,33,4,1062058.184111,1066373.1808702012,120.33577843113655,0.4198705641561606,0.2392987200219138
11,B,2112,33,4,1267996.866848,1225682.4460023982,103.65326014177117,0.42216274048713465,0.17264686620527983
36,E,2112,33,4,748010.020965,713915.786276745,54.62331992685205,0.42714516100553707,0.15422848418084162
44,A,2112,33,4,2840125.163031,2810587.7707100296,177.77511879234675,0.433312784610687,0.13219876918689802
35,C,2112,33,4,337749.381,327706.04039400705,26.733457790597463,0.43345228382172696,0.16716851615411796
12,C,2112,33,4,493796.761,505144.534636264,38.14684790169736,0.434171234299691,0.16315648285182824
43,E,2112,33,4,1000404.903956,950054.9382215514,65.20417438544615,0.4356199851163623,0.13765547905402822
34,B,2112,33,4,681081.192044,669040.530970508,39.932649658456526,0.4360561403373591,0.12382922486165451
18,B,2112,33,4,672875.2979005,678138.2174674788,43.798319785707804,0.43862644719401145,0.13747280019944114
28,E,2112,33,4,973161.297911,962700.0732018693,77.91675141807119,0.4389045024440894,0.1690985650048078
30,C,2112,33,4,423863.877978,383665.1048683343,55.87905426832045,0.44144894431246784,0.27843033753590646
32,C,2112,33,4,302705.809017,261116.8096080538,42.410412861938646,0.44271711197192126,0.2959004726578739
15,C,2112,33,4,491493.311018,499254.4066688682,33.54640160031842,0.44334312161999934,0.14415252169581969
22,C,2112,33,4,445304.454998,428399.95645988145,42.46938540011723,0.4500826885016588,0.2014247577322137
16,C,2112,33,4,410343.726992,427077.9899101004,51.51310681469705,0.4502165762363912,0.26513304441171887
21,B,2112,33,4,859604.440163,852857.1497703072,78.50543332810838,0.4527332506712631,0.19288345597368586
14,C,2112,33,4,514306.797994,520322.9708699474,55.95827215194233,0.45433983292337726,0.22979255037239651
