experiment,model,feature_set,inference_strategy,fold,train_end,validation_start,validation_end,rmsle,mae,wape
T0_untuned,global_lightgbm,M6_NO_HOLIDAY,recursive_untuned_or_tuned,1,2017-06-12,2017-06-13,2017-06-28,0.3968746212882832,63.94423294764002,0.1401085065627374
T0_untuned,global_lightgbm,M6_NO_HOLIDAY,recursive_untuned_or_tuned,2,2017-06-28,2017-06-29,2017-07-14,0.3899873085986574,63.26562196230777,0.1304978265876685
T0_untuned,global_lightgbm,M6_NO_HOLIDAY,recursive_untuned_or_tuned,3,2017-07-14,2017-07-15,2017-07-30,0.4045559336223701,63.88055786043878,0.1325974645841964
T0_untuned,global_lightgbm,M6_NO_HOLIDAY,recursive_untuned_or_tuned,4,2017-07-30,2017-07-31,2017-08-15,0.4330309501402281,75.02258830103965,0.1605987810590672
T1_compact_regularized,global_lightgbm,M6_NO_HOLIDAY,recursive_untuned_or_tuned,1,2017-06-12,2017-06-13,2017-06-28,0.4016150563229955,65.59708059108875,0.1437300687306497
T1_compact_regularized,global_lightgbm,M6_NO_HOLIDAY,recursive_untuned_or_tuned,2,2017-06-28,2017-06-29,2017-07-14,0.3914173113359608,65.0130016164649,0.1341021418542896
T1_compact_regularized,global_lightgbm,M6_NO_HOLIDAY,recursive_untuned_or_tuned,3,2017-07-14,2017-07-15,2017-07-30,0.40603038848158257,64.93793961725703,0.1347922816732706
T1_compact_regularized,global_lightgbm,M6_NO_HOLIDAY,recursive_untuned_or_tuned,4,2017-07-30,2017-07-31,2017-08-15,0.4433716259138898,76.88819597258026,0.16459243583383484
T2_moderate_capacity,global_lightgbm,M6_NO_HOLIDAY,recursive_untuned_or_tuned,1,2017-06-12,2017-06-13,2017-06-28,0.3925659314727877,61.19600019062647,0.13408684097192086
T2_moderate_capacity,global_lightgbm,M6_NO_HOLIDAY,recursive_untuned_or_tuned,2,2017-06-28,2017-06-29,2017-07-14,0.38577680248201707,61.128954333271935,0.12609052807259946
T2_moderate_capacity,global_lightgbm,M6_NO_HOLIDAY,recursive_untuned_or_tuned,3,2017-07-14,2017-07-15,2017-07-30,0.40030796942562225,60.80535541545108,0.12621423843611954
T2_moderate_capacity,global_lightgbm,M6_NO_HOLIDAY,recursive_untuned_or_tuned,4,2017-07-30,2017-07-31,2017-08-15,0.4280480561153745,72.74537276886187,0.15572400871438322
T3_robust_subsample,global_lightgbm,M6_NO_HOLIDAY,recursive_untuned_or_tuned,1,2017-06-12,2017-06-13,2017-06-28,0.39513521711542443,64.26636220427588,0.14081432547692116
T3_robust_subsample,global_lightgbm,M6_NO_HOLIDAY,recursive_untuned_or_tuned,2,2017-06-28,2017-06-29,2017-07-14,0.3902773755972662,63.261383527313484,0.13048908397931777
T3_robust_subsample,global_lightgbm,M6_NO_HOLIDAY,recursive_untuned_or_tuned,3,2017-07-14,2017-07-15,2017-07-30,0.4047061806380669,63.50633754251814,0.1318206920102847
T3_robust_subsample,global_lightgbm,M6_NO_HOLIDAY,recursive_untuned_or_tuned,4,2017-07-30,2017-07-31,2017-08-15,0.43367107657698645,75.11130659366933,0.16078869785581648
