date_key,date,year,month,month_name,day_of_week,day_name,is_weekend,is_payday,total_sales,has_sales_observation,sales_ma_7,sales_ma_28
20130101,2013-01-01,2013,1,January,1,Tuesday,0,0,2511.618999,1,2511.618999,2511.618999
20130102,2013-01-02,2013,1,January,2,Wednesday,0,0,496092.417944,1,249302.0184715,249302.0184715
20130103,2013-01-03,2013,1,January,3,Thursday,0,0,361461.231124,1,286688.42268899997,286688.42268899997
20130104,2013-01-04,2013,1,January,4,Friday,0,0,354459.6770927,1,303631.236289925,303631.236289925
20130105,2013-01-05,2013,1,January,5,Saturday,1,0,477350.121229,1,338375.01327774,338375.01327774
20130106,2013-01-06,2013,1,January,6,Sunday,1,0,519695.401088,1,368595.0779127833,368595.0779127833
20130107,2013-01-07,2013,1,January,0,Monday,0,0,336122.801066,1,363956.1812203857,363956.1812203857
20130108,2013-01-08,2013,1,January,1,Tuesday,0,0,318347.777981,1,409075.63250352856,358255.1308154625
20130109,2013-01-09,2013,1,January,2,Wednesday,0,0,302530.80901799997,1,381423.9740855286,352063.53950463334
20130110,2013-01-10,2013,1,January,3,Thursday,0,0,258982.003049,1,366784.08436052856,342755.38585907
20130111,2013-01-11,2013,1,January,4,Friday,0,0,289737.6850845,1,357538.0855022143,337935.59487956367
20130112,2013-01-12,2013,1,January,5,Saturday,1,0,403258.2120105,1,346953.52704242856,343379.1463071417
20130113,2013-01-13,2013,1,January,6,Sunday,1,0,464638.547998,1,339088.26231528574,352706.7925910539
20130114,2013-01-14,2013,1,January,0,Monday,0,0,293348.362078,1,332977.62817414285,348466.90469726425
20130115,2013-01-15,2013,1,January,1,Tuesday,0,1,299129.549954,1,330232.1670274286,345177.74771438
20130116,2013-01-16,2013,1,January,2,Wednesday,0,0,318347.913946,1,332491.75344571425,343500.88310385623
20130117,2013-01-17,2013,1,January,3,Thursday,0,0,267498.5159755,1,333708.3981495,339030.15562571766
20130118,2013-01-18,2013,1,January,4,Friday,0,0,296130.850028,1,334621.7074271428,336646.8608702889
20130119,2013-01-19,2013,1,January,5,Saturday,1,0,432459.852021,1,338793.3702857857,341689.64987822104
20130120,2013-01-20,2013,1,January,6,Sunday,1,0,461092.386047,1,338286.77572135715,347659.78668665997
20130121,2013-01-21,2013,1,January,0,Monday,0,0,311211.26595,1,340838.61913164286,345924.1428420571
20130122,2013-01-22,2013,1,January,1,Tuesday,0,0,296214.728983,1,340422.21613578574,343664.6240302818
20130123,2013-01-23,2013,1,January,2,Wednesday,0,0,283258.4530325,1,335409.43600528577,341038.2687695087
20130124,2013-01-24,2013,1,January,3,Thursday,0,0,247245.690995,1,332516.1752937857,337130.24469557084
20130125,2013-01-25,2013,1,January,4,Friday,0,0,290022.77193,1,331643.59270835714,335245.945784948
20130126,2013-01-26,2013,1,January,5,Saturday,1,0,413799.7679753,1,328977.86641611427,338267.24663842306
20130127,2013-01-27,2013,1,January,6,Sunday,1,0,430411.991233,1,324594.9528712571,341680.0149567407
20130128,2013-01-28,2013,1,January,0,Monday,0,0,285460.169953,1,320916.2248716857,339672.16334946424
20130129,2013-01-29,2013,1,January,1,Tuesday,0,0,264488.8180765,1,316383.9518850428,349028.49188794644
20130130,2013-01-30,2013,1,January,2,Wednesday,0,0,281061.127052,1,316070.0481735429,341348.80292751786
20130131,2013-01-31,2013,1,January,3,Thursday,0,1,271254.217996,1,319499.8377451143,338127.1238872321
20130201,2013-02-01,2013,2,February,4,Friday,0,0,369402.055266,1,330839.73536454287,338660.7802505643
20130202,2013-02-02,2013,2,February,5,Saturday,1,0,518887.462705,1,345852.2631830714,340144.25673185
20130203,2013-02-03,2013,2,February,6,Sunday,1,0,486336.82018,1,353841.5244612143,338952.87884227856
20130204,2013-02-04,2013,2,February,0,Monday,0,0,344308.715017,1,362248.45947035716,339245.23291195714
20130205,2013-02-05,2013,2,February,1,Tuesday,0,0,321245.83913,1,370356.6053351429,339348.73509585
20130206,2013-02-06,2013,2,February,2,Wednesday,0,0,321538.177149,1,376139.0410632857,340027.5696719571
20130207,2013-02-07,2013,2,February,3,Thursday,0,0,290807.530973,1,378932.37148857134,341164.1956692428
20130208,2013-02-08,2013,2,February,4,Friday,0,0,347441.789912,1,375795.1907237143,343225.0565559393
20130209,2013-02-09,2013,2,February,5,Saturday,1,0,416176.2790747,1,361122.1644908143,343686.41609394643
20130210,2013-02-10,2013,2,February,6,Sunday,1,0,300951.328993,1,334638.52289267146,337840.443986625
20130211,2013-02-11,2013,2,February,0,Monday,0,0,278627.588926,1,325255.50487967144,337314.70208833925
20130212,2013-02-12,2013,2,February,1,Tuesday,0,0,308800.7909121,1,323477.64084854285,337660.10355112853
20130213,2013-02-13,2013,2,February,2,Wednesday,0,0,319597.929962,1,323200.4626789714,337704.7469802714
20130214,2013-02-14,2013,2,February,3,Thursday,0,0,308164.016957,1,325679.96067668573,339157.0863010393
20130215,2013-02-15,2013,2,February,4,Friday,0,1,320168.883912,1,321783.8312481143,340015.5875111822
