family,total_sales,average_sales,median_sales,sales_std,coefficient_of_variation,zero_sales_rate,promotion_rate,number_of_active_stores,monthly_growth,sales_contribution_rate,rank_total_sales,rank_volatility,rank_zero_sales_rate,rank_promotion_rate
AUTOMOTIVE,554822.0,6.101236034133897,5.0,6.191690575085025,1.0148256091790373,0.1278481569455441,0.033584059118500924,54,0.009996704383170383,0.0005167648754474481,24,25,20,24
BABY CARE,10051.0,0.11052828362804609,0.0,0.6810643769559659,6.161901321546883,0.9413103721298496,0.0005828274830650127,42,-0.03317420284633399,9.361567787727056e-06,32,3,2,32
BEAUTY,337893.0,3.7157231459487994,2.0,4.794667864422452,1.2903727420192785,0.2628222046274303,0.1222508137591273,54,0.003015075376884422,0.00031471577201258165,27,21,16,19
BEVERAGES,216954486.0,2385.7931512272366,1784.0,2307.882305384152,0.9673438387552551,0.08061713732735111,0.5685866983372921,54,0.013727164043401442,0.2020728412636037,2,26,27,2
BOOKS,6438.0,0.07079704407495381,0.0,0.5479805784506494,7.740161833176182,0.9695500131960939,0.0,26,-0.278270878712387,5.9963957235485815e-06,33,1,1,33
BREAD/BAKERY,42133945.576369,463.3362538089316,401.0,368.2463668326982,0.7947713217031229,0.08060614058238762,0.42772939209993843,54,0.010070281146556519,0.03924383520819629,6,30,33,6
CELEBRATION,761177.0,8.370469341075042,3.0,15.927113864400527,1.902774290832653,0.43633984340635174,0.03531054807776898,54,-0.025894179419288246,0.0007089652854401271,20,10,11,23
CLEANING,97521289.0,1072.4167436438813,938.0,734.6814930722705,0.6850708900496588,0.08061713732735111,0.5487375736781912,54,0.0013216378828088044,0.0908319727111751,4,33,27,3
DAIRY,64487709.0,709.1548891528108,520.0,671.9496379604717,0.9475357897669066,0.08061713732735111,0.5056853171461247,54,-0.0022680100617173647,0.0600642781095131,5,27,27,4
DELI,24110322.468767,265.13506717655275,218.9715,210.41707347087237,0.793622193064172,0.08061713732735111,0.43414049441365354,54,-0.0024028420255202826,0.022456513598181377,10,31,27,5
EGGS,15588296.0,171.4205155274039,131.0,161.82678337846352,0.9440339324647131,0.08061713732735111,0.3022015483416909,54,0.005892035108926623,0.014519041856447569,12,28,27,11
FROZEN FOODS,14073887.7199105,154.76695390066092,83.0,324.97130458441404,2.0997460788237836,0.08091404944136536,0.3939034045922407,54,0.004429166801834392,0.013108511981574126,13,5,22,8
GROCERY I,343462734.886,3776.9721000043983,3185.0,2874.208844794154,0.7609822812275492,0.08062813407231459,0.625560833993138,54,0.004333521340603088,0.3199034598739842,1,32,26,1
GROCERY II,1962767.0,21.58404812175596,12.0,31.062424996480146,1.4391380533093936,0.12112914577285123,0.045581507873669394,54,-0.0041416033921703975,0.0018281341480463308,17,18,21,21
HARDWARE,103470.0,1.1378332013723937,1.0,1.6380395845934248,1.4396131020062597,0.47862232779097386,0.0014515703351807865,54,0.008221993833504625,9.637264142832738e-05,30,17,8,30
HOME AND KITCHEN I,1861491.0,20.470341778833465,12.0,35.96764581869391,1.757061323513651,0.3464524500747779,0.16057446995689276,54,-0.018114240027555652,0.0017338050127095638,18,12,14,18
HOME AND KITCHEN II,1520670.0,16.722420163631565,9.0,31.29882320427241,1.8716682691864217,0.3471342482625143,0.20876220638690948,54,0.01635006660154352,0.0014163620821572881,19,11,13,14
HOME APPLIANCES,41601.0,0.45747558722618104,0.0,0.9695510459604864,2.1193503501229007,0.7351763877892143,0.0006378112078824668,54,-0.0296220633299285,3.874744617821443e-05,31,4,4,31
HOME CARE,16022744.0,176.19802938330255,143.0,209.9165795838816,1.1913673513750114,0.4090899093868215,0.35781208762206385,54,-0.005889983526899102,0.014923689593214304,11,22,12,9
LADIESWEAR,651159.0,7.16062945368171,0.0,13.946301704461703,1.9476362789993373,0.5984648544030967,0.005058502683205771,44,-0.010970600951145697,0.0006064937935616916,22,9,5,28
LAWN AND GARDEN,548842.0,6.035475499252222,1.0,12.28345844464396,2.035209727247811,0.46784551772675287,0.046538224685493096,51,0.018387553041018388,0.0005111950639490292,25,7,9,20
LINGERIE,653114.0,7.182128090085334,5.0,9.474520150311044,1.3191800579817383,0.16046450250725786,0.023401073282308435,54,-0.00937471557294985,0.0006083146934746362,21,20,19,26
"LIQUOR,WINE,BEER",7746640.0,85.18782440397642,47.0,126.55563652302287,1.4856070971230892,0.17865311867687164,0.19702867951086478,54,0.017234715147499344,0.007215271663229323,15,15,18,15
MAGAZINES,266359.0,2.9290819917304476,0.0,6.008492413476358,2.051322711497964,0.5653866455529163,0.0017484824491950384,54,-0.049078115257860516,0.00024808853192430515,29,6,6,29
MEATS,31086468.4040749,341.84996485522674,224.93650000000002,455.9084981035337,1.3336508555635238,0.08061713732735111,0.23607812087622063,54,0.008143906038995613,0.02895414200037633,8,19,27,12
PERSONAL CARE,24592051.0,270.43251297615905,222.0,226.5120071931592,0.8375916220292942,0.08065012756224157,0.420416556699217,54,0.01247220433165815,0.02290519873403054,9,29,25,7
PET SUPPLIES,356584.0,3.9212633060614057,0.0,7.657852409617248,1.952904411642009,0.546153338611771,0.03357306237353743,54,0.01670476971286264,0.00033212469286825837,26,8,7,25
PLAYERS AND ELECTRONICS,562608.0,6.186856690419636,2.0,10.544497053587614,1.7043383387101556,0.44886513591976773,0.009336236474003695,54,-0.016816581931951506,0.0005240168072746537,23,13,10,27
POULTRY,31876004.471721,350.53229163060837,205.743,400.51163131804117,1.1425812710576209,0.08076009501187649,0.21667986276062284,54,0.006651043553965166,0.029689521108736138,7,23,24,13
