store_nbr,family,city,state,store_type,cluster,history_start,history_end,history_length,active_days,zero_sales_rate,average_sales,sales_std,coefficient_of_variation,promotion_rate,observed_period_count,missing_period_count,has_positive_sales,is_insufficient_history,is_intermittent,is_promotion_dependent,is_high_volatility,is_ready,risk_flag_count,readiness_class,classification_rule,zero_sales_rate_median,zero_sales_rate_q75,cv_median,cv_q75,promotion_rate_q75,missing_period_count_q75
1,AUTOMOTIVE,Quito,Pichincha,D,13,2013-01-02,2017-08-15,1687,1463,0.13071895424836602,3.2531194295900177,2.7592856012252183,0.8481968341300534,0.008318478906714201,1683,4,1,0,0,0,0,0,0,Ready with caution,Sufficient history without an extreme Q75 risk flag,0.0528756900926609,0.2304776345716452,0.7558004540874597,1.109609648399397,0.4324570685673125,4.0
1,BABY CARE,Quito,Pichincha,D,13,,,0,0,1.0,0.0,0.0,,0.0,0,0,0,1,1,0,0,0,2,Insufficient history,history_length < 365 or active_days < 90,0.0528756900926609,0.2304776345716452,0.7558004540874597,1.109609648399397,0.4324570685673125,4.0
1,BEAUTY,Quito,Pichincha,D,13,2013-01-02,2017-08-15,1687,1430,0.1503267973856209,2.409982174688057,1.8986058311143164,0.7878090763721386,0.13012477718360071,1683,4,1,0,0,0,0,0,0,Ready with caution,Sufficient history without an extreme Q75 risk flag,0.0528756900926609,0.2304776345716452,0.7558004540874597,1.109609648399397,0.4324570685673125,4.0
1,BEVERAGES,Quito,Pichincha,D,13,2013-01-02,2017-08-15,1687,1678,0.0029708853238265003,1588.6922162804515,726.0540775482191,0.4570136808803052,0.6054664289958408,1683,4,1,0,0,1,0,0,1,Promotion dependent,promotion_rate >= eligible-series Q75,0.0528756900926609,0.2304776345716452,0.7558004540874597,1.109609648399397,0.4324570685673125,4.0
1,BOOKS,Quito,Pichincha,D,13,2016-10-13,2017-07-31,292,127,0.563573883161512,0.7250859106529209,1.1110834613615448,1.5323473329678177,0.0,291,1,1,1,1,0,1,0,3,Insufficient history,history_length < 365 or active_days < 90,0.0528756900926609,0.2304776345716452,0.7558004540874597,1.109609648399397,0.4324570685673125,4.0
1,BREAD/BAKERY,Quito,Pichincha,D,13,2013-01-02,2017-08-15,1687,1678,0.0029708853238265003,338.67629700713013,111.01282983409762,0.32778446798643385,0.4503862150920974,1683,4,1,0,0,1,0,0,1,Promotion dependent,promotion_rate >= eligible-series Q75,0.0528756900926609,0.2304776345716452,0.7558004540874597,1.109609648399397,0.4324570685673125,4.0
1,CELEBRATION,Quito,Pichincha,D,13,2014-01-02,2017-08-15,1322,999,0.24260803639120546,12.72630780894617,37.085904838942405,2.914113456604613,0.043214556482183475,1319,3,1,0,1,0,1,0,2,Intermittent demand,zero_sales_rate >= eligible-series Q75,0.0528756900926609,0.2304776345716452,0.7558004540874597,1.109609648399397,0.4324570685673125,4.0
1,CLEANING,Quito,Pichincha,D,13,2013-01-02,2017-08-15,1687,1678,0.0029708853238265003,640.8348187759952,217.59556250669254,0.3395501557207886,0.5745692216280451,1683,4,1,0,0,1,0,0,1,Promotion dependent,promotion_rate >= eligible-series Q75,0.0528756900926609,0.2304776345716452,0.7558004540874597,1.109609648399397,0.4324570685673125,4.0
1,DAIRY,Quito,Pichincha,D,13,2013-01-02,2017-08-15,1687,1678,0.0029708853238265003,626.4729649435532,210.6666976598727,0.3362742040733622,0.5656565656565656,1683,4,1,0,0,1,0,0,1,Promotion dependent,promotion_rate >= eligible-series Q75,0.0528756900926609,0.2304776345716452,0.7558004540874597,1.109609648399397,0.4324570685673125,4.0
1,DELI,Quito,Pichincha,D,13,2013-01-02,2017-08-15,1687,1678,0.0029708853238265003,123.01668335472371,41.072359333408045,0.33387633460230914,0.42543077837195487,1683,4,1,0,0,0,0,1,0,Ready,"history_length >= 730, zero-sales <= median, CV <= median, and missing periods <= Q75",0.0528756900926609,0.2304776345716452,0.7558004540874597,1.109609648399397,0.4324570685673125,4.0
