event_category,observation_count,average_actual_sales,median_actual_sales,actual_sales_std,average_baseline_sales,average_difference,median_difference,average_difference_pct,median_difference_pct,q25_difference_pct,q75_difference_pct,payday_observation_count,small_sample_warning
Additional,1678,17144.959220771274,14526.011014,12608.909912091369,13611.65928388209,3533.2999368891833,2355.2918866249997,32.70786898979622,23.415999278191997,5.319148651127828,52.12618705993888,216,
Bridge,162,14742.778180574072,11650.244999999999,11703.162433597283,12772.66412884429,1970.1140517297838,1324.2888587500006,24.425668284899736,16.146114617124425,-5.011477547470123,42.290270542165885,0,
Event,2970,14025.806258612862,10986.341500999999,11481.596410078548,13540.622366236868,485.18389237599325,-88.21800125000073,7.095116680581968,-2.3065158309600724,-13.106502385115494,14.802083866143208,270,
Holiday,2435,11518.318658404682,8455.291,11667.734359658363,11252.680392635246,1601.4066613492791,297.2952490000007,14.202093346586206,6.183557899916098,-11.97916561482576,31.13895014676884,59,
Local holiday,360,14094.796540784166,10177.82,12974.258852096516,13042.221642724862,1052.5748980593055,133.53425412499882,5.263768686825952,3.0353813042540194,-11.737581148853472,15.632432402814565,5,
National holiday,4222,13989.999182348034,10862.503495,12406.11000835951,12246.080032676055,2563.534411957208,1170.6480032500003,23.462213669908103,15.158783527151435,-2.890285957525464,42.28938064689768,270,
Payday + holiday,275,16016.893128407273,14084.814,10763.56769450741,14304.877309050182,1712.0158193570908,724.1547487500002,18.368381502188207,7.015579889837505,-6.761822818841932,30.930735457841582,275,
Regional holiday,31,7580.939579919355,6886.691,4769.722161783187,6803.3352475,777.6043324193548,797.043326250001,17.118614789932828,13.738864499727969,-10.314701543289049,35.59716021557734,0,
Regular day,83216,11618.29738734666,9210.1589985,9695.232405276538,11740.773630356241,-21.904756305060737,-6.079500499999995,1.1212086435255997,-1.5355105445329957,-10.70112299397241,9.530359167990296,5503,
Transfer,389,15524.235461268894,12007.526,13169.376143170723,12816.648262233033,2707.5871990358614,1316.851001,19.875952480269355,15.200434386754347,0.23695202313270672,33.35180925760695,0,
Work Day,270,12281.198287157407,9532.325,10965.397810843202,15342.271827780092,-309.4619247368827,0.0,-1.6591288166583842,1.1073640799710645,-22.33094199523875,11.87223284358812,0,
