year_month,year,month,month_name,total_sales,observed_days,calendar_days,missing_sales_dates,is_complete_observation_month,mom_growth,yoy_growth
2013-01,2013,1,January,10327624.7369095,31,31,0,True,,
2013-02,2013,2,February,9658959.777436802,28,28,0,True,-0.06474528040150229,
2013-03,2013,3,March,11428497.037487498,31,31,0,True,0.18320163877111395,
2013-04,2013,4,April,10993464.7380118,30,30,0,True,-0.03806557398131305,
2013-05,2013,5,May,11597704.007026799,31,31,0,True,0.054963497260853256,
2013-06,2013,6,June,11689344.0622436,30,30,0,True,0.0079015687209536,
2013-07,2013,7,July,11257400.6076808,31,31,0,True,-0.036951898435257036,
2013-08,2013,8,August,11737788.9194727,31,31,0,True,0.04267311154087716,
2013-09,2013,9,September,11792933.231867898,30,30,0,True,0.00469801533947467,
2013-10,2013,10,October,11775620.360519102,31,31,0,True,-0.0014680716839821084,
2013-11,2013,11,November,12356559.292986097,30,30,0,True,0.04933404055847013,
2013-12,2013,12,December,15803117.1479746,30,31,1,False,,
2014-01,2014,1,January,18911640.701403398,31,31,0,True,,0.8311703981473897
2014-02,2014,2,February,12038352.633978298,28,28,0,True,-0.3634421875895224,0.2463404871091528
2014-03,2014,3,March,20365584.016476996,31,31,0,True,0.6917251583904473,0.7820002008728066
2014-04,2014,4,April,12861251.0571494,30,30,0,True,-0.3684811077971609,0.16989969619672363
2014-05,2014,5,May,13379785.261197502,31,31,0,True,0.04031755555847405,0.15365810794024215
2014-06,2014,6,June,13319958.1730016,30,30,0,True,-0.004471453541889381,0.13949577513291445
2014-07,2014,7,July,19421891.0438224,31,31,0,True,0.4581045069036995,0.7252553871602525
2014-08,2014,8,August,13885176.419054195,31,31,0,True,-0.2850759801028382,0.18294650843644256
2014-09,2014,9,September,20022416.1138096,30,30,0,True,0.4419994035029662,0.6978317200765007
2014-10,2014,10,October,20396101.3141771,31,31,0,True,0.01866334203841502,0.7320617249652894
2014-11,2014,11,November,20531635.2036432,30,30,0,True,0.006645088067487315,0.6615980805674186
2014-12,2014,12,December,24340454.363830198,30,31,1,False,,
2015-01,2015,1,January,14896922.057198498,31,31,0,True,,-0.21228822541594583
2015-02,2015,2,February,13742395.8483812,28,28,0,True,-0.0775009900960989,0.14155119609914357
2015-03,2015,3,March,15598607.5183553,31,31,0,True,0.13507191107384342,-0.23407020855699112
2015-04,2015,4,April,14955068.1707755,30,30,0,True,-0.04125620487742454,0.16280042309431275
2015-05,2015,5,May,17730368.244309,31,31,0,True,0.18557588917962042,0.32516089744194576
2015-06,2015,6,June,21615360.351242103,30,30,0,True,0.2191151392571944,0.6227798969410101
2015-07,2015,7,July,22209619.0387389,31,31,0,True,0.027492425656584052,0.1435353534126227
2015-08,2015,8,August,22963674.241281506,31,31,0,True,0.033951739614594745,0.6538266096330738
2015-09,2015,9,September,23240882.4779112,30,30,0,True,0.012071597677141721,0.16074315636072511
2015-10,2015,10,October,23878267.6645621,31,31,0,True,0.02742517145193113,0.17072705693830725
2015-11,2015,11,November,22804953.3682112,30,30,0,True,-0.0449494205956914,0.11072270386747451
2015-12,2015,12,December,27243981.6737737,30,31,1,False,,
2016-01,2016,1,January,23977804.8854341,31,31,0,True,,0.6095811465864207
2016-02,2016,2,February,21947408.8010028,29,29,0,True,-0.08467814690012399,0.5970584054736072
2016-03,2016,3,March,23131780.883819904,31,31,0,True,0.05396409633391386,0.48293883646986546
2016-04,2016,4,April,25963025.1019622,30,30,0,True,0.12239629245851447,0.7360686561561747
2016-05,2016,5,May,24779432.2602277,31,31,0,True,-0.04558763229963714,0.3975700853354396
2016-06,2016,6,June,22209218.5803836,30,30,0,True,-0.10372367102088242,0.027473899092659293
2016-07,2016,7,July,23462672.433103602,31,31,0,True,0.05643844911441964,0.05641940062902817
2016-08,2016,8,August,22452414.3178949,31,31,0,True,-0.04305810082330286,-0.022263855427260948
2016-09,2016,9,September,22417448.0969967,30,30,0,True,-0.0015573479271817625,-0.03543042660695506
2016-10,2016,10,October,24030389.816292007,31,31,0,True,0.07195028231207967,0.006370736515181719
2016-11,2016,11,November,24642640.197393507,30,30,0,True,0.02547817100688099,0.08058279267275048
2016-12,2016,12,December,29640287.5793851,30,31,1,False,,
2017-01,2017,1,January,26328159.9357051,31,31,0,True,,0.09802211092720925
2017-02,2017,2,February,23250112.3749368,28,28,0,True,-0.11691085014239777,0.059355689126931344
2017-03,2017,3,March,26704017.6908793,31,31,0,True,0.14855434934008094,0.15442982211361356
2017-04,2017,4,April,25895308.489555098,30,30,0,True,-0.03028417711093767,-0.00260819423550096
2017-05,2017,5,May,26911847.250593,31,31,0,True,0.03925571156829144,0.08605584534670463
2017-06,2017,6,June,25682822.1249936,30,30,0,True,-0.04566855311548035,0.15640368129286997
2017-07,2017,7,July,27011477.5658307,31,31,0,True,0.051733233768889386,0.15125323608576102
2017-08,2017,8,August,12433322.9407775,15,15,0,False,,
