analysis_level,date,store_nbr,actual_sales,expected_sales,difference,z_score,is_holiday,is_event,is_promotion,promotion_rate,material_promotion_context,rolling_expected_sales,rolling_sales_std,rolling_z_anomaly,weekday_median_sales,weekday_q1_sales,weekday_q3_sales,weekday_iqr_sales,weekday_iqr_score,weekday_iqr_anomaly,weekday_observation_count,anomaly_method,review_category,review_guidance
system_day,2013-06-02,,637698.4952468872,371903.24851159967,265795.24673528754,3.089782280409383,0,0,0,0.0,0,371903.24851159967,86023.94039882669,1,862268.4005236626,588558.5446750522,1037992.1293292046,449433.5846541524,-0.49967317295521235,0,240,Rolling z-score,Unexplained anomaly,No mapped business context; investigate before drawing conclusions
system_day,2013-09-01,,640406.2218512595,372480.2012186101,267926.02063264936,4.2008943427293435,0,0,0,0.0,0,372480.2012186101,63778.32879714285,1,862268.4005236626,588558.5446750522,1037992.1293292046,449433.5846541524,-0.493648419361295,0,240,Rolling z-score,Unexplained anomaly,No mapped business context; investigate before drawing conclusions
system_day,2014-01-01,,8602.06538772583,521764.7019072569,-513162.6365195311,-5.021909158050422,1,0,0,0.0,0,521764.7019072569,102184.7708449486,1,632951.6844097376,390888.73654055595,744453.1549482048,353564.4184076488,-1.7658723177911981,0,240,Rolling z-score,Business event,"Known business context overlaps the flag; review, do not treat as error"
system_day,2014-03-01,,911360.2574257851,429941.16554134234,481419.0918844427,5.186724693107838,0,0,0,0.0,0,429941.16554134234,92817.5525730441,1,816064.6458206177,547857.2053089142,935555.5242304802,387698.318921566,0.2457983616494513,0,241,Rolling z-score,Unexplained anomaly,No mapped business context; investigate before drawing conclusions
system_day,2014-06-01,,742732.8301734924,421275.99186583713,321456.8383076553,3.141698502976814,0,0,1,0.03198653198653199,0,421275.99186583713,102319.44217532947,1,862268.4005236626,588558.5446750522,1037992.1293292046,449433.5846541524,-0.2659693766369396,0,240,Rolling z-score,Unexplained anomaly,No mapped business context; investigate before drawing conclusions
system_day,2014-07-01,,720480.6168067455,430874.98465282365,289605.6321539219,3.1239210278868432,0,1,1,0.14814814814814814,0,430874.98465282365,92705.81092436379,1,602440.1024369597,379596.47393608093,717312.7434134483,337716.2694773674,0.349525696681594,0,242,Rolling z-score,Business event,"Known business context overlaps the flag; review, do not treat as error"
system_day,2014-07-06,,918276.5973854065,476935.09632286534,441341.50106254115,3.139124634176645,0,0,1,0.132996632996633,0,476935.09632286534,140593.81276471674,1,862268.4005236626,588558.5446750522,1037992.1293292046,449433.5846541524,0.12461951837632092,0,240,Rolling z-score,Unexplained anomaly,No mapped business context; investigate before drawing conclusions
system_day,2014-09-01,,812526.2189698219,433068.49217905,379457.72679077194,4.519716839673695,0,0,1,0.15039281705948374,0,433068.49217905,83956.08403161983,1,651800.5104680061,426332.0978631973,762036.1225504875,335704.0246872902,0.47877206313368603,0,241,Rolling z-score,Unexplained anomaly,No mapped business context; investigate before drawing conclusions
system_day,2014-09-07,,997964.0797028542,495073.6703696581,502890.40933319606,3.3338290201547207,0,0,1,0.1616161616161616,0,495073.6703696581,150844.69128229536,1,862268.4005236626,588558.5446750522,1037992.1293292046,449433.5846541524,0.3019259882049357,0,240,Rolling z-score,Unexplained anomaly,No mapped business context; investigate before drawing conclusions
system_day,2015-01-01,,12773.616966247559,813847.2007704303,-801073.5838041827,-5.738203631308679,1,0,1,0.0028058361391694727,0,813847.2007704303,139603.54760388428,1,531402.203358233,348375.4196534157,614368.896820426,265993.4771670103,-1.9497793401390522,0,240,Rolling z-score,Business event,"Known business context overlaps the flag; review, do not treat as error"
system_day,2015-03-01,,820434.9775676727,490799.8516538058,329635.1259138669,3.122935842064039,0,0,1,0.1228956228956229,0,490799.8516538058,105552.96124687642,1,862268.4005236626,588558.5446750522,1037992.1293292046,449433.5846541524,-0.09308032239776083,0,240,Rolling z-score,Unexplained anomaly,No mapped business context; investigate before drawing conclusions
system_day,2015-05-31,,1023564.7673330307,547187.207204244,476377.5601287867,3.765736966825759,0,0,1,0.2154882154882155,0,547187.207204244,126503.14249917943,1,862268.4005236626,588558.5446750522,1037992.1293292046,449433.5846541524,0.3588881034190819,0,240,Rolling z-score,Unexplained anomaly,No mapped business context; investigate before drawing conclusions
system_day,2015-12-24,,1083680.3167595863,877836.6828408028,205843.6339187835,1.1369614344291148,1,0,1,0.21268237934904602,0,877836.6828408028,181047.1557657896,0,531402.203358233,348375.4196534157,614368.896820426,265993.4771670103,2.0762844235258915,1,240,Weekday IQR,Business event,"Known business context overlaps the flag; review, do not treat as error"
system_day,2016-01-01,,16433.394035339355,911396.1128595939,-894962.7188242546,-5.503591396789264,1,0,1,0.0056116722783389455,0,911396.1128595939,162614.31023865004,1,616645.0136044025,394251.91810679436,723011.3922416568,328759.4741348624,-1.8256861529193429,0,240,Rolling z-score,Business event,"Known business context overlaps the flag; review, do not treat as error"
system_day,2016-04-03,,1266908.290380478,747534.3053818451,519373.9849986328,3.467102258418229,0,0,1,0.18799102132435466,0,747534.3053818451,149800.5960849805,1,862268.4005236626,588558.5446750522,1037992.1293292046,449433.5846541524,0.9003330050828163,0,240,Rolling z-score,Unexplained anomaly,No mapped business context; investigate before drawing conclusions
system_day,2016-04-18,,1345920.606155157,772276.0459688157,573644.5601863414,2.9539877228410094,0,1,1,0.3221099887766555,1,772276.0459688157,194193.27837782496,0,651800.5104680061,426332.0978631973,762036.1225504875,335704.0246872902,2.067654971767845,1,241,Weekday IQR,Business event,"Known business context overlaps the flag; review, do not treat as error"
system_day,2016-09-03,,1057581.2110238075,722416.2709541342,335164.94006967335,3.579928903404001,0,0,1,0.3888888888888889,1,722416.2709541342,93623.35094168472,1,816064.6458206177,547857.2053089142,935555.5242304802,387698.318921566,0.622949735441206,0,241,Rolling z-score,Business event,"Known business context overlaps the flag; review, do not treat as error"
system_day,2016-09-04,,1109985.8574147224,729511.9138448089,380473.9435699135,3.4469465813636853,0,0,1,0.38215488215488214,1,729511.9138448089,110379.9941742613,1,862268.4005236626,588558.5446750522,1037992.1293292046,449433.5846541524,0.5511770044548031,0,240,Rolling z-score,Business event,"Known business context overlaps the flag; review, do not treat as error"
system_day,2016-12-22,,1135849.393098116,908774.3565421595,227075.03655595647,1.245325361831423,1,0,1,0.4764309764309764,1,908774.3565421595,182341.93530115797,0,531402.203358233,348375.4196534157,614368.896820426,265993.4771670103,2.272413580128382,1,240,Weekday IQR,Business event,"Known business context overlaps the flag; review, do not treat as error"
system_day,2016-12-23,,1282145.5160660744,928074.0739187406,354071.44214733376,2.00658701438904,1,0,1,0.5331088664421998,1,928074.0739187406,176454.5666887715,0,616645.0136044025,394251.91810679436,723011.3922416568,328759.4741348624,2.024277792185155,1,240,Weekday IQR,Business event,"Known business context overlaps the flag; review, do not treat as error"
system_day,2017-01-01,,12082.500999450684,997972.4766049449,-985889.9756054942,-5.599813584107088,0,0,1,0.008417508417508417,0,997972.4766049449,176057.64206215058,1,862268.4005236626,588558.5446750522,1037992.1293292046,449433.5846541524,-1.891683061866518,0,240,Rolling z-score,Unexplained anomaly,No mapped business context; investigate before drawing conclusions
system_day,2017-01-02,,1402306.3706493378,958638.2598983453,443668.11075099243,1.7415869304252138,1,0,1,0.47979797979797983,1,958638.2598983453,254749.3340700883,0,651800.5104680061,426332.0978631973,762036.1225504875,335704.0246872902,2.2356177018742365,1,241,Weekday IQR,Business event,"Known business context overlaps the flag; review, do not treat as error"
system_day,2017-04-01,,1463083.9632492065,856308.2511446646,606775.712104542,3.574459212224921,1,0,1,0.4006734006734007,1,856308.2511446646,169753.15035889152,1,816064.6458206177,547857.2053089142,935555.5242304802,387698.318921566,1.6688731569132371,0,241,Rolling z-score,Business event,"Known business context overlaps the flag; review, do not treat as error"
system_day,2017-05-01,,1306699.3653018177,831913.3737190409,474785.99158277677,3.4230453083959396,1,0,1,0.49775533108866443,1,831913.3737190409,138702.80665530087,1,651800.5104680061,426332.0978631973,762036.1225504875,335704.0246872902,1.9508221727274575,1,241,Rolling z-score + weekday IQR,Business event,"Known business context overlaps the flag; review, do not treat as error"
