store_nbr,city,state,store_type,cluster,total_sales,average_daily_sales,sales_std,coefficient_of_variation,active_days,total_transactions,sales_volume_per_transaction,first_vs_last_90d_growth_proxy,first_window_average_daily_sales,last_window_average_daily_sales,recent_90d_growth,recent_90d_yoy_growth,has_yoy_comparison,recent_90d_sales,previous_90d_sales,yoy_90d_sales,recent_90d_observed_days,previous_90d_observed_days,yoy_90d_observed_days,recent_90d_start_date,recent_90d_end_date,previous_90d_start_date,previous_90d_end_date,yoy_90d_start_date,yoy_90d_end_date,sales_threshold_median,volatility_threshold_median,performance_segment,rank_average_daily_sales,rank_recent_90d_growth,rank_volatility,rank_sales_volume_per_transaction
1,Quito,Pichincha,D,13,14145012.8696541,8399.651347775594,3430.440745334329,0.40840275426941175,1684,2553963,5.538456457534467,1.1588147812797611,4870.497322361111,10514.501611696665,-0.02183258704089041,0.06072210155922661,1,946305.1450527,967426.5698445,892132.9570315001,90,90,90,2017-05-18,2017-08-15,2017-02-17,2017-05-17,2016-05-18,2016-08-15,9496.4657910519,0.40655671257144577,Low sales – volatile,32,28,27,50
2,Quito,Pichincha,D,13,21557388.6445642,12801.299670168764,5692.235683417445,0.4446607633662561,1684,3219901,6.695047035472271,1.1119801647856673,7143.156844566667,15086.205569677777,-0.05752107143514631,0.04016905131163417,1,1357758.501271,1440624.782284,1305324.840764,90,90,90,2017-05-18,2017-08-15,2017-02-17,2017-05-17,2016-05-18,2016-08-15,9496.4657910519,0.40655671257144577,High sales – volatile,16,41,17,37
3,Quito,Pichincha,D,8,50481910.185082,29977.381345060574,11324.234286519542,0.37775928978484496,1684,5366350,9.40712219387144,1.2855906275584663,16198.657264866666,37023.499223611114,-0.05191380719595645,0.06393402690805346,1,3332114.930125,3514569.6197410002,3131881.156023,90,90,90,2017-05-18,2017-08-15,2017-02-17,2017-05-17,2016-05-18,2016-08-15,9496.4657910519,0.40655671257144577,High sales – stable,4,37,33,8
4,Quito,Pichincha,D,9,18909700.380001,11229.038230404394,4201.652568669029,0.3741774212944072,1684,2519007,7.506807396724583,0.8858303599053001,6839.085421844444,12897.354922499999,-0.09083025194861995,0.006044836834377876,1,1160761.943025,1276727.415879,1153787.485931,90,90,90,2017-05-18,2017-08-15,2017-02-17,2017-05-17,2016-05-18,2016-08-15,9496.4657910519,0.40655671257144577,High sales – stable,20,50,35,30
5,Santo Domingo,Santo Domingo de los Tsachilas,D,4,15592404.5723532,9259.147608285748,2517.773498920574,0.2719228168117214,1684,2347877,6.641065342159406,0.5030744406739813,6753.201167122222,10150.564067031111,0.013256355701446986,0.04910281243657552,1,913550.7660328,901598.8509644,870792.4096696,90,90,90,2017-05-18,2017-08-15,2017-02-17,2017-05-17,2016-05-18,2016-08-15,9496.4657910519,0.40655671257144577,Low sales – stable,28,18,51,40
6,Quito,Pichincha,D,13,25183679.997054,14954.679333167458,5644.004381097329,0.37740724861814257,1684,3065896,8.21413381179727,0.9716526674538676,9058.178565788889,17859.58193151111,-0.06784346355349882,0.044467670008999594,1,1607362.373836,1724348.122863,1538929.753395,90,90,90,2017-05-18,2017-08-15,2017-02-17,2017-05-17,2016-05-18,2016-08-15,9496.4657910519,0.40655671257144577,High sales – stable,14,44,34,18
7,Quito,Pichincha,D,8,26952049.582971,16004.780037393704,5718.334764445347,0.3572891817997486,1684,2995993,8.996032228036247,1.495407356183664,8071.363279622223,20141.3393024,-0.05972473879020371,0.05128210235481424,1,1812720.537216,1927861.565648,1724295.061388,90,90,90,2017-05-18,2017-08-15,2017-02-17,2017-05-17,2016-05-18,2016-08-15,9496.4657910519,0.40655671257144577,High sales – stable,12,42,41,11
8,Quito,Pichincha,D,8,30494286.928015,18108.246394308197,6757.231184773927,0.3731576784209137,1684,4637971,6.574919706918176,1.174978716402718,10225.709532477778,22240.700593255555,-0.05673883720710067,0.05451316105880787,1,2001663.053393,2122066.647445,1898186.885959,90,90,90,2017-05-18,2017-08-15,2017-02-17,2017-05-17,2016-05-18,2016-08-15,9496.4657910519,0.40655671257144577,High sales – stable,9,40,36,42
9,Quito,Pichincha,B,6,26409441.0647935,15682.565952965262,5987.354973056349,0.3817841411292939,1684,3516162,7.510871531173336,0.875004390420103,9796.516010602221,18368.510530699998,-0.08895190505988132,0.07993908909790391,1,1653165.947763,1814575.933965,1530795.5462043,90,90,90,2017-05-18,2017-08-15,2017-02-17,2017-05-17,2016-05-18,2016-08-15,9496.4657910519,0.40655671257144577,High sales – stable,13,48,31,29
10,Quito,Pichincha,C,15,9613905.735863,5708.970151937649,1695.5618454815108,0.296999598939229,1684,1652493,5.817819340755452,0.612530324201029,3986.8931893777776,6428.986167222222,-0.014379562149066757,0.1089331226446623,1,578608.75505,587050.281051,521770.648955,90,90,90,2017-05-18,2017-08-15,2017-02-17,2017-05-17,2016-05-18,2016-08-15,9496.4657910519,0.40655671257144577,Low sales – stable,46,23,49,48
