year_month,total_sales,total_transactions,store_day_count,sales_volume_per_transaction,previous_total_sales,previous_total_transactions,previous_sales_volume_per_transaction,sales_change,transaction_effect,volume_per_transaction_effect,interaction_effect,sales_change_direction,dominant_change_driver
2013-01,10327624.737772584,2289558,1381,4.510750432080159,,,,,,,,No change / first month,Not available for first month
2013-02,9658959.778148651,2169615,1288,4.451923395694006,10327624.737772584,2289558.0,4.510750432080159,-668664.9596239328,-541032.9390749905,-134687.91177420705,7055.891225264316,Decrease,Transactions
2013-03,11428497.036367178,2458683,1426,4.648219000321383,9658959.778148651,2169615.0,4.451923395694006,1769537.2582185268,1286908.592146475,425885.8882336259,56742.77783842653,Increase,Transactions
2013-04,10993464.73765552,2344905,1380,4.688234592725727,11428497.036367178,2458683.0,4.648219000321383,-435032.2987116575,-528865.0614185663,98385.65677948901,-4552.894072581419,Decrease,Transactions
2013-05,11597704.007096648,2467465,1449,4.700250664992876,10993464.73765552,2344905.0,4.688234592725727,604239.2694411278,574590.0316844651,28176.54793960049,1472.6898170618579,Increase,Transactions
2013-06,11676222.375126064,2392206,1406,4.880943520384977,11597704.007096648,2467465.0,4.700250664992876,78518.36802941561,-353736.1647966989,445853.29643006995,-13598.763603954112,Increase,Sales volume per transaction
2013-07,11257400.607930958,2401968,1434,4.6867404594611415,11676222.375126064,2392206.0,4.880943520384977,-418821.76719510555,47647.77064599815,-464573.7275603652,-1895.8102807384837,Decrease,Sales volume per transaction
2013-08,11737788.917942904,2461139,1457,4.769250707880743,11257400.607930958,2401968.0,4.6867404594611415,480388.31001194566,277319.1197267752,198186.97637593318,4882.213909236236,Increase,Transactions
2013-09,11792933.231944948,2380462,1410,4.954052294027356,11737788.917942904,2461139.0,4.769250707880743,55144.3140020445,-384768.8393596947,454822.39092728955,-14909.237565550317,Increase,Sales volume per transaction
2013-10,11775620.359695643,2408440,1457,4.889314394253393,11792933.231944948,2380462.0,4.954052294027356,-17312.87224930525,138604.47508229737,-154106.11037172735,-1811.236959875935,Decrease,Sales volume per transaction
2013-11,12356559.29256016,2369866,1410,5.214032899986818,11775620.359695643,2408440.0,4.889314394253393,580938.932864517,-188600.4134439304,782065.0379486096,-12525.691640161127,Increase,Sales volume per transaction
