store_nbr,city,state,store_type,cluster,total_sales,total_transactions,average_daily_transactions,median_daily_transactions,transaction_observation_count,unusual_transaction_days,sales_volume_per_transaction,sales_transactions_correlation,rank_total_transactions,rank_sales_volume_per_transaction
1,Quito,Pichincha,D,13,14131016.4176541,2553963,1523.8442720763724,1746.0,1676,316,5.532976169840401,0.6104083354639833,19,50
2,Quito,Pichincha,D,13,21515460.1075642,3219901,1920.0363744782348,1889.0,1677,38,6.682025350333504,0.3327448070664007,14,37
3,Quito,Pichincha,D,8,50330526.502082,5366350,3201.879474940334,3100.5,1676,25,9.378912389628331,0.5620790859880084,5,8
4,Quito,Pichincha,D,9,18854453.988001,2519007,1502.9874701670644,1455.0,1676,30,7.484875583117078,0.4813840480657954,20,31
5,Santo Domingo,Santo Domingo de los Tsachilas,D,4,15566917.1663732,2347877,1400.0459153249851,1379.0,1677,35,6.630209830571704,0.3495673943542074,24,40
6,Quito,Pichincha,D,13,25106033.743054,3065896,1829.293556085919,1729.0,1676,31,8.188808016662666,0.5945486507196905,15,18
7,Quito,Pichincha,D,8,26857721.442941,2995993,1788.6525373134327,1790.0,1675,26,8.964547461539796,0.39750769497089317,16,11
8,Quito,Pichincha,D,8,30407983.148075,4637971,2767.285799522673,2740.5,1676,44,6.556311617316063,0.3216766907797778,7,42
9,Quito,Pichincha,B,6,26326944.5288235,3516162,2097.9486873508354,2045.0,1676,15,7.487409433587957,0.5057853875150938,13,30
10,Quito,Pichincha,C,15,9582048.222885,1652493,986.5629850746269,962.0,1675,17,5.7985408851262905,0.4058518806136681,39,48
11,Cayambe,Pichincha,B,6,28241687.671396,3972488,2370.219570405728,2300.0,1676,18,7.109319819567988,0.5772709270105383,10,33
12,Latacunga,Cotopaxi,C,15,10629262.91025,1958852,1212.1608910891089,1196.0,1616,27,5.426271566330688,0.4713203206067568,33,51
13,Latacunga,Cotopaxi,C,15,10491742.809941,1572504,938.2482100238664,894.0,1676,64,6.671997533832028,0.6118185877393917,40,38
14,Riobamba,Chimborazo,C,7,11358438.763216,2287850,1396.7338217338217,1365.0,1638,10,4.964678087818695,0.4383493897226336,27,53
15,Ibarra,Imbabura,C,15,11419998.091653,2209898,1318.554892601432,1330.0,1676,26,5.167658458287668,0.42450314530878425,28,52
16,Santo Domingo,Santo Domingo de los Tsachilas,C,3,10968463.7617492,1464498,873.2844364937388,849.0,1677,11,7.489572373433901,0.47815297095821885,42,29
17,Quito,Pichincha,C,12,17977319.299151,2295485,1371.2574671445639,1345.0,1674,13,7.831599552665776,0.7933051660063328,26,22
18,Quito,Pichincha,B,16,13220303.1619043,2071278,1322.655172413793,1314.0,1566,25,6.382679274295532,0.22227646302230214,32,45
19,Guaranda,Bolivar,C,15,13007944.772733,2107489,1257.4516706443915,1174.0,1676,194,6.172248003540232,0.63267576743628,31,47
20,Quito,Pichincha,B,6,12876009.0258221,1422539,1564.949394939494,1426.0,909,32,9.051427782171244,0.5960387290266093,44,10
21,Santo Domingo,Santo Domingo de los Tsachilas,B,6,9220056.100208,842891,1126.859625668449,1019.0,748,33,10.93861021200606,0.820067737773707,51,3
22,Puyo,Pastaza,C,7,4075763.1338,504156,751.3502235469449,730.0,671,21,8.084329322273264,0.801686387647046,53,20
23,Ambato,Tungurahua,D,9,11632893.8389287,1788171,1066.2915921288015,1050.0,1677,25,6.505470583589992,0.058740692416202375,35,44
24,Guayaquil,Guayas,D,1,23752070.972714,3568206,2262.6544071020926,2280.0,1577,25,6.656586243258937,0.2243189198066084,12,39
