month,month_name,day_of_week,day_name,average_sales,observed_days
1,January,0,Monday,615097.7037000476,21
1,January,1,Tuesday,532923.8133653364,22
1,January,2,Wednesday,536358.0209365227,22
1,January,3,Thursday,457526.4709728,23
1,January,4,Friday,531471.6997135478,23
1,January,5,Saturday,778412.4596516908,22
1,January,6,Sunday,824039.4611902499,22
2,February,0,Monday,551503.3254468334,21
2,February,1,Tuesday,518065.90297652,20
2,February,2,Wednesday,534129.26341226,20
2,February,3,Thursday,460370.06099018,20
2,February,4,Friday,533104.02960173,20
2,February,5,Saturday,711454.65384091,20
2,February,6,Sunday,695659.0692460199,20
3,March,0,Monday,576994.4444476273,22
3,March,1,Tuesday,550926.8174265501,22
3,March,2,Wednesday,606047.594724809,22
3,March,3,Thursday,516251.0624085954,22
3,March,4,Friday,569489.8746670592,22
3,March,5,Saturday,758763.1028759273,22
3,March,6,Sunday,804438.409691587,23
4,April,0,Monday,562503.4209816286,21
4,April,1,Tuesday,521354.4981020318,22
4,April,2,Wednesday,540623.5559146318,22
4,April,3,Thursday,484314.0620793905,21
4,April,4,Friday,550765.4299937715,21
4,April,5,Saturday,768982.5239055865,22
4,April,6,Sunday,801797.3175720904,21
5,May,0,Monday,613091.1706392,22
5,May,1,Tuesday,553070.1382102409,22
5,May,2,Wednesday,549790.6807206773,22
5,May,3,Thursday,458991.07842002274,22
5,May,4,Friday,549961.6998164956,23
5,May,5,Saturday,739449.2481346318,22
5,May,6,Sunday,801517.5896740727,22
6,June,0,Monday,603776.6855216182,22
6,June,1,Tuesday,557957.2923553429,21
6,June,2,Wednesday,580600.0457201666,21
6,June,3,Thursday,500118.02385657275,22
6,June,4,Friday,582858.895068481,21
6,June,5,Saturday,769407.4392407191,21
6,June,6,Sunday,814714.662066609,22
7,July,0,Monday,644051.1814531455,22
7,July,1,Tuesday,575041.5064530681,22
7,July,2,Wednesday,615228.9770170826,23
7,July,3,Thursday,531257.6088426728,22
7,July,4,Friday,621677.4292736818,22
7,July,5,Saturday,813968.3802296272,22
7,July,6,Sunday,869130.9036470545,22
8,August,0,Monday,610840.4756286449,20
8,August,1,Tuesday,568896.979829515,20
8,August,2,Wednesday,570293.1008723526,19
8,August,3,Thursday,473345.7189648895,19
8,August,4,Friday,549887.30018823,20
8,August,5,Saturday,689746.7901472619,21
8,August,6,Sunday,728303.077777645,20
9,September,0,Monday,604592.6994477666,18
9,September,1,Tuesday,583020.7302602056,18
9,September,2,Wednesday,605238.1651043824,17
9,September,3,Thursday,501136.7763590176,17
9,September,4,Friday,575453.9404539353,17
9,September,5,Saturday,796195.435377475,16
9,September,6,Sunday,868612.9545416235,17
10,October,0,Monday,607940.2121549412,17
10,October,1,Tuesday,528445.3413666646,17
10,October,2,Wednesday,571533.2545489777,18
10,October,3,Thursday,498952.790104179,19
10,October,4,Friday,605339.3235647944,18
10,October,5,Saturday,812826.2143603555,18
10,October,6,Sunday,909831.9687746647,17
11,November,0,Monday,652208.9121097883,17
11,November,1,Tuesday,603818.3830467882,17
11,November,2,Wednesday,639722.4477984766,17
11,November,3,Thursday,506056.0272822,16
11,November,4,Friday,572449.5373454118,17
11,November,5,Saturday,770519.2903472555,18
11,November,6,Sunday,911675.3685755723,18
12,December,0,Monday,797805.0318030445,18
12,December,1,Tuesday,767890.8949253527,19
12,December,2,Wednesday,820217.9685371118,17
12,December,3,Thursday,713412.8580647411,17
12,December,4,Friday,758924.5884746875,16
12,December,5,Saturday,887070.8511702882,17
12,December,6,Sunday,923918.8282003562,16
